,ARI,B cells.f1,CD14+ Monocytes.f1,CD4 T cells.f1,CD8 T cells.f1,DB,Dataset,Dendritic cells.f1,FCGR3A+ Monocytes.f1,FM,Megakaryocytes.f1,NK cells.f1,SCC1.f1,SCC25.f1,SCC6.f1,calinski,cells,ncluster
100,0.9938366267818723,,,,,1.3949574371047793,Kagohara,,,0.9960126851052274,,,0.99923925446938,0.9990471386133064,0.9988158368944036,7682.408177940872,100,3
250,0.9401918067966104,,,,,3.466414319255718,Kagohara,,,0.9611922927588422,,,0.998567745631624,0.9993827506873912,0.9997941539728284,2717.100839726937,250,7
500,0.9404799949193584,,,,,3.466999942053344,Kagohara,,,0.9613837351286522,,,0.9984251968503935,0.99943889574683,0.999897066392177,2717.9955418990703,500,7
750,0.9629116879887272,,,,,3.453636922044956,Kagohara,,,0.9759598483869278,,,0.9995328194347116,0.9993273542600896,0.9998970451971584,3162.4442817123304,750,6
1000,0.9980430468263266,,,,,1.980617108271752,Kagohara,,,0.9987336648171724,,,0.999809813617345,0.9996076453113616,0.9999485411413574,5165.05717213607,1000,4
1500,0.9980150480512886,,,,,1.9805311617545176,Kagohara,,,0.9987155410559088,,,0.9998098497813273,0.999607601322944,0.9999485411413574,5166.241404385477,1500,4
2000,0.9981515982828651,,,,,1.9804829221735167,Kagohara,,,0.9988039114260696,,,0.9998098497813273,0.9997196838033302,0.9998970981683474,5167.784496944444,2000,4
100,0.6873289413751763,0.95069033530572,0.9166445212153423,0.9644936636602351,0.5785545954438335,1.996750260673,Kang,0.8995983935742973,0.21953705051681466,0.7651633720465058,0.01813613023052551,0.6586360266864344,,,,3003.602699325967,100,8
250,0.5996386731401027,0.9409578860445912,0.8777710687483826,0.967066415048396,0.5175012560710099,2.2822748993259685,Kang,0.8683274021352313,0.2548625083836352,0.6990727393401384,0.016366612111292964,0.5276114437791084,,,,2903.0171796467966,250,7
500,0.5711290401488252,0.9413483615111669,0.8730431790813693,0.9503951367781156,0.4990120352074726,2.412259105698003,Kang,0.8600337268128162,0.25329956005865883,0.6779497404254281,0.017680826636050518,0.5126379494482022,,,,2740.064095696141,500,7
750,0.6913683489096618,0.9450251645373596,0.920775123929698,0.9632386107352278,0.5999622427789315,2.3099237956029977,Kang,0.8754208754208754,0.21921475312314093,0.7684337523871758,0.019814774930002155,0.6357615894039735,,,,3356.316101640521,750,7
1000,0.6930839777940084,0.9462282398452612,0.9172155955136194,0.968593536640874,0.5954751131221719,2.2166296690319434,Kang,0.8775510204081634,0.22888759464181715,0.7696793097662211,0.019230769230769232,0.6219144024152016,,,,3390.0374282863936,1000,7
1500,0.7159387386326507,0.9460452523689808,0.9197870452528836,0.9688077504620036,0.6134030240806422,2.150221711106013,Kang,0.8834782608695653,0.22095572117492326,0.7871378244978788,0.018295307791648733,0.666187825462381,,,,3492.876759839483,1500,7
2000,0.7288810692754727,0.9470224284609436,0.9407265774378584,0.9688318929467522,0.6146686522710351,2.1812762815152986,Kang,0.8842832469775476,0.9842878864673088,0.7964608748791518,0.019490254872563718,0.665351506456241,,,,3532.4117284312183,2000,7
